pe_code,title,personnel_count,watchers,watcher_tenants,change_events_30d,priority_score
0603270A,Army Electronic Warfare Technology,0,1,1,3,1315
0101113F,B-52 Squadrons,0,0,0,0,5
0101122F,Air-Launched Cruise Missile (ALCM),0,0,0,0,5
0101126F,B-1B Squadrons,0,0,0,0,5
0101127F,B-2 Squadrons,0,0,0,0,5
0101213F,Minuteman Squadrons,0,0,0,0,5
0101221N,Strategic Sub & Weapons System Support,0,0,0,0,5
0101224N,SSBN Security Technology Program,0,0,0,0,5
0101226N,Submarine Acoustic Warfare Development,0,0,0,0,5
0101316F,Worldwide Joint Strategic Communications,0,0,0,0,5
0101318F,Service Support to STRATCOM - Global Strike,0,0,0,0,5
0101328F,ICBM Reentry Vehicles,0,0,0,0,5
0101402N,Navy Strategic Communications,0,0,0,0,5
0102110F,MH-139A,0,0,0,0,5
0102326F,Region/Sector Operation Control Center Modernization Program,0,0,0,0,5
0102417F,Over-the-Horizon Backscatter Radar,0,0,0,0,5
0105519N,Nuclear-Armed Sea-Launched Cruise Missile (SLCM-N) Support,0,0,0,0,5
0202057C,Safety Program Management,0,0,0,0,5
0202834F,Vehicles and Support Equipment  - General,0,0,0,0,5
0203728A,Joint Automated Deep Operation Coordination System (JADOCS),0,0,0,0,5
0203735A,Combat Vehicle Improvement Programs,0,0,0,0,5
0203743A,155mm Self-Propelled Howitzer Improvements,0,0,0,0,5
0203752A,Aircraft Engine Component Improvement Program,0,0,0,0,5
0203758A,Digitization,0,0,0,0,5
0203801A,Missile/Air Defense Product Improvement Program,0,0,0,0,5
0203802A,Other Missile Product Improvement Programs,0,0,0,0,5
0204134N,Navy F/A-18 modernization,0,0,0,0,5
0204136N,F/A-18 Squadrons,0,0,0,0,5
0204202N,Destroyers Guided Missile (DDG-1000),0,0,0,0,5
0204228N,Surface Support,0,0,0,0,5
0204229N,Tomahawk and Tomahawk Mission Planning Center (TMPC),0,0,0,0,5
0204311N,Integrated Surveillance System,0,0,0,0,5
0204313N,Ship-Towed Array Surveillance Systems,0,0,0,0,5
0204413N,Amphibious Tactical Support Units (Displacement Craft),0,0,0,0,5
0204460M,Ground/Air Task Oriented Radar (G/ATOR),0,0,0,0,5
0204571J,Joint Staff Analytical Support,0,0,0,0,5
0204571N,Consolidated Training Systems Development,0,0,0,0,5
0204575N,Electronic Warfare (EW) Readiness Support,0,0,0,0,5
0205219F,MQ-9 UAV,0,0,0,0,5
0205412A,Environmental Quality Technology - Operational System Dev,0,0,0,0,5
0205601N,Anti-Radiation Missile Improvement,0,0,0,0,5
0205620N,Surface ASW Combat System Integration,0,0,0,0,5
0205632N,MK-48 ADCAP,0,0,0,0,5
0205633N,Aviation Improvements,0,0,0,0,5
0205671F,Joint Counter RCIED Electronic Warfare,0,0,0,0,5
0205675N,Operational Nuclear Power Systems,0,0,0,0,5
0205778A,Guided Multiple-Launch Rocket System (GMLRS),0,0,0,0,5
0206313M,Marine Corps Communications Systems,0,0,0,0,5
0206335M,Common Aviation Command and Control System (CAC2S),0,0,0,0,5
0206623M,Marine Corps Ground Combat/Supporting Arms Systems,0,0,0,0,5
0206624M,Marine Corps Combat Services Support,0,0,0,0,5
0206625M,USMC Intelligence/Electronic Warfare Systems,0,0,0,0,5
0206629M,Amphibious Assault Vehicle,0,0,0,0,5
0207039F,Cognitive Electromagnetic Warfare,0,0,0,0,5
0207040F,Multi-Platform Electronic Warfare Equipment,0,0,0,0,5
0207110F,F-47,0,0,0,0,5
0207133F,F-16 Squadrons,0,0,0,0,5
0207134F,F-15E Squadrons,0,0,0,0,5
0207136F,Manned Destructive Suppression,0,0,0,0,5
0207138F,F-22A Squadrons,0,0,0,0,5
0207142F,F-35 Squadrons,0,0,0,0,5
0207146F,F-15EX,0,0,0,0,5
0207147M,Collaborative Combat Aircraft,0,0,0,0,5
0207161F,Tactical AIM Missiles,0,0,0,0,5
0207161N,Tactical AIM Missiles,0,0,0,0,5
0207163F,Advanced Medium Range Air-to-Air Missile (AMRAAM),0,0,0,0,5
