pe_code,title,personnel_count
0602201F,Aerospace Vehicle Technologies,126
0305282M,Joint Fires Network (JFN),50
0601103N,University Research Initiatives,25
0602143A,Soldier Lethality Technology,25
0603506N,Surface Ship Torpedo Defense,25
0601102A,Defense Research Sciences,24
0601275A,Electronic Warfare Basic Research,22
0207147F,Collaborative Combat Aircraft,21
0604281F,Tactical Data Networks Enterprise,21
0602150A,Air and Missile Defense Technology,20
0602303E,Information & Communications Technology,19
0601102F,Defense Research Sciences,18
0603444F,Maui Space Surveillance System (MSSS),17
0604707N,Space and Electronic Warfare (SEW) Architecture/Engineering Support,16
0605867N,SEW Surveillance/Reconnaissance Support,15
0601121A,Cyber Collaborative Research Alliance,14
0604289M,Next Generation Logistics,14
0603804A,Logistics and Engineer Equipment - Adv Dev,13
0602715E,Materials and Biological Technology,12
0603766A,Tactical Electronic Surveillance System - Adv Dev,11
0604802A,Weapons and Munitions - Eng Dev,11
0602785A,Manpower/Personnel/Training Technology,10
0604134A,Counter Improvised-Threat Demonstration, Prototype Development, and Testing,10
0604182A,Hypersonics,10
0604641A,Tactical Unmanned Ground Vehicle (TUGV),10
0603712S,Generic Logistics R&D Technology Demonstrations,9
0602146A,Network C3I Technology,8
0306250M,Cyber Operations Technology Development,6
0602602F,Conventional Munitions,6
0208088F,AF Defensive Cyberspace Operations,5
0602336F,Nuclear Delivery Systems Tech Exploration,5
0604112N,Gerald R. Ford Class Nuclear Aircraft Carrier (CVN 78 - 80),5
0602135A,Counter Small Unmanned Aerial Systems (C-SUAS) Applied Research,4
0603881C,Ballistic Missile Defense Terminal Defense Segment,4
0604414F,Cyber Resiliency of Weapon Systems-ACS,4
0604735F,Combat Training Ranges,4
0605038A,Nuclear Biological Chemical Reconnaissance Vehicle (NBCRV) Sensor Suite,4
1206415F,U.S. Space Command Research and Development Support,4
0602184A,Soldier Applied Research,3
0603128N,Unmanned Aerial System,3
0603208N,Training System Aircraft,3
0603273N,Science & Technology for Nuclear Re-entry Systems,3
0603308A,Army Space Systems Integration,3
0605126J,Joint Integrated Air and Missile Defense Organization (JIAMDO),3
1206895C,Ballistic Missile Defense System Space Programs,3
0601101E,Defense Research Sciences,2
0603216N,Aviation Survivability,2
0603609N,Conventional Munitions,2
0603801A,Aviation - Adv Dev,2
0604113A,Future Tactical Unmanned Aircraft System (FTUAS),2
0708610F,Logistics Information Technology (LOGIT),2
0305282K,Joint Fires Network (JFN),1
0601601A,Artificial Intelligence and Machine Learning Basic Research,1
0603178N,Large Unmanned Surface Vehicles (LUSV),1
0603914C,Ballistic Missile Defense Test,1
0604011K,Next Generation Information Communications Technology (5G),1
0604518N,Combat Information Center Conversion,1
0604807A,Medical Materiel/Medical Biological Defense Equipment - Eng Dev,1
0605414N,Unmanned Carrier Aviation (UCA),1
0606002A,Ronald Reagan Ballistic Missile Defense Test Site,1
0804768J,COCOM Exercise Engagement and Training Transformation (CE2T2) - non-MHA,1
(61 rows)
