pe_code,title
0101113F,B-52 Squadrons
0101122F,Air-Launched Cruise Missile (ALCM)
0101126F,B-1B Squadrons
0101127F,B-2 Squadrons
0101213F,Minuteman Squadrons
0101221N,Strategic Sub & Weapons System Support
0101224N,SSBN Security Technology Program
0101226N,Submarine Acoustic Warfare Development
0101316F,Worldwide Joint Strategic Communications
0101318F,Service Support to STRATCOM - Global Strike
0101328F,ICBM Reentry Vehicles
0101402N,Navy Strategic Communications
0102110F,MH-139A
0102326F,Region/Sector Operation Control Center Modernization Program
0102417F,Over-the-Horizon Backscatter Radar
0105519N,Nuclear-Armed Sea-Launched Cruise Missile (SLCM-N) Support
0202057C,Safety Program Management
0202834F,Vehicles and Support Equipment  - General
0203728A,Joint Automated Deep Operation Coordination System (JADOCS)
0203735A,Combat Vehicle Improvement Programs
0203743A,155mm Self-Propelled Howitzer Improvements
0203752A,Aircraft Engine Component Improvement Program
0203758A,Digitization
0203801A,Missile/Air Defense Product Improvement Program
0203802A,Other Missile Product Improvement Programs
0204134N,Navy F/A-18 modernization
0204136N,F/A-18 Squadrons
0204202N,Destroyers Guided Missile (DDG-1000)
0204228N,Surface Support
0204229N,Tomahawk and Tomahawk Mission Planning Center (TMPC)
0204311N,Integrated Surveillance System
0204313N,Ship-Towed Array Surveillance Systems
0204413N,Amphibious Tactical Support Units (Displacement Craft)
0204460M,Ground/Air Task Oriented Radar (G/ATOR)
0204571J,Joint Staff Analytical Support
0204571N,Consolidated Training Systems Development
0204575N,Electronic Warfare (EW) Readiness Support
0205219F,MQ-9 UAV
0205412A,Environmental Quality Technology - Operational System Dev
0205601N,Anti-Radiation Missile Improvement
0205620N,Surface ASW Combat System Integration
0205632N,MK-48 ADCAP
0205633N,Aviation Improvements
0205671F,Joint Counter RCIED Electronic Warfare
0205675N,Operational Nuclear Power Systems
0205778A,Guided Multiple-Launch Rocket System (GMLRS)
0206313M,Marine Corps Communications Systems
0206335M,Common Aviation Command and Control System (CAC2S)
0206623M,Marine Corps Ground Combat/Supporting Arms Systems
0206624M,Marine Corps Combat Services Support
0206625M,USMC Intelligence/Electronic Warfare Systems
0206629M,Amphibious Assault Vehicle
0207039F,Cognitive Electromagnetic Warfare
0207040F,Multi-Platform Electronic Warfare Equipment
0207110F,F-47
0207133F,F-16 Squadrons
0207134F,F-15E Squadrons
0207136F,Manned Destructive Suppression
0207138F,F-22A Squadrons
0207142F,F-35 Squadrons
0207146F,F-15EX
0207147M,Collaborative Combat Aircraft
0207161F,Tactical AIM Missiles
0207161N,Tactical AIM Missiles
0207163F,Advanced Medium Range Air-to-Air Missile (AMRAAM)
0207163N,Advanced Medium Range Air-to-Air Missile (AMRAAM)
0207171F,F-15 EPAWSS
0207172F,Joint Advanced Tactical Missile (JATM)
0207179F,Autonomous Collaborative Platforms
0207227F,Combat Rescue - Pararescue
0207238F,E-11A
0207242F,Special Program Applications
0207247F,AF TENCAP
0207249F,Precision Attack Systems Procurement
0207253F,Compass Call
0207268F,Aircraft Engine Component Improvement Program
0207279F,Isolated Personnel Survivability and Recovery
0207325F,Joint Air-to-Surface Standoff Missile (JASSM)
0207327F,Small Diameter Bomb (SDB)
0207328F,Stand In Attack Weapon
0207407F,Electromagnetic Battle Management (EMBM)
0207410F,Air & Space Operations Center (AOC)
0207412F,Control and Reporting Center (CRC)
0207418F,AFSPECWAR - TACP
0207420F,Combat Identification
0207423F,Advanced Communications Systems
0207431F,Combat Air Intelligence System Activities
0207438F,Theater Battle Management (TBM) C4I
0207439F,Electromagnetic Warfare Int Reprog (EWIR)
0207444F,Tactical Air Control Party-Mod
0207448F,C2ISR Tactical Data Link
0207452F,DCAPES
0207455F,Three Dimensional Long-Range Radar (3DELRR)
0207457F,Air Force Special Warfare (SPECWAR)
0207521F,Air Force Calibration Programs
0207522F,Airbase Air Defense Systems (ABADS)
0207573F,National Technical Nuclear Forensics
0207590F,Seek Eagle
0207605F,Wargaming and Simulation Centers
0207606F,Joint Simulation Environment (JSE)
0207611F,Readiness Decision Support Enterprise
0207697F,Distributed Training and Exercises
0207701F,Full Combat Mission Training
0208006F,Mission Planning Systems
0208007F,Tactical Deception
0208030F,War Reserve Materiel - Ammunition
0208036F,Medical C-CBRNE Programs
0208043N,Planning and Decision Aid System (PDAS)
0208045K,C4I Interoperability
0208053A,Joint Tactical Ground System
0208087F,Distributed Cyber Warfare Operations
0208201F,Offensive small Unmanned Aircraft Systems (sUAS)
0208288F,Intel Data Applications
0300206R,Enterprise Information Technology Systems
0301025F,GeoBase
0301113F,Cyber Security Intelligence Support
0301377F,Countering Advanced Conventional Weapons (CACW)
0301377N,Countering Advanced Conventional Weapons (CACW)
0301401F,AF Multi-Domain Non-Traditional ISR Battlespace Awareness
0302015F,E-4B National Airborne Operations Center (NAOC)
0302019K,Defense Info Infrastructure Engineering and Integration
0302315F,Non-Kinetic Countermeasure Support
0302315N,Non-Kinetic Countermeasure Support
0302609V,Countering Threats Automated Platform
0303004F,EIT CONNECT
0303008F,SATURN
0303010F,AF ISR Digital Infrastructure
0303028A,Security and Intelligence Activities
0303032A,TROJAN - RH12
0303089F,Cyberspace and DoDIN Operations
0303126K,Long-Haul Communications - DCS
0303131F,Minimum Essential Emergency Communications Network (MEECN)
0303131K,Minimum Essential Emergency Communications Network (MEECN)
0303133F,High Frequency Radio Systems
0303138N,Afloat Networks
0303140A,Information Systems Security Program
0303140F,Information Systems Security Program
0303140K,Information Systems Security Program
0303140N,Information Systems Security Program
0303141A,Global Combat Support System
0303142A,SATCOM Ground Environment (SPACE)
0303150K,Global Command and Control System
0303153K,Defense Spectrum Organization
0303171K,Joint Planning and Execution Services
0303228K,Joint Regional Security Stacks (JRSS)
0303248F,All Domain Common Platform
0303255F,Command, Control, Communication, and Computers (C4) - STRATCOM
0303260F,Joint Military Deception Initiative
0303260N,Defense Military Deception Initiative
0303267F,Auctioned Spectrum Relocation Fund
0303267N,Auctioned Spectrum Relocation Fund
0303354N,ASW Systems Development - MIP
0303430V,Federal Investigative Services Information Technology
0303667N,Citizen Broadband Radio System
0303767A,AMBIT - Pre-Auctioned SRF
0303867F,AMBIT - Post-Auctioned SRF
0303867K,AMBIT - Post-Auctioned SRF
0303867N,AMBIT - Post-Auctioned SRF
0304100F,Strategic Mission Planning & Execution System (SMPES)
0304109F,THRESHER
0304240M,Advanced Tactical Unmanned Aircraft System
0304260F,Airborne SIGINT Enterprise
0304270A,Electronic Warfare Development
0304270N,Electronic Warfare Development - MIP
0304310F,Commercial Economic Analysis
0304785N,ISR & Info Operations
0304797N,Undersea Artificial Intelligence / Machine Learning (AI/ML)
0305015F,C2 Air Operations Suite - C2 Info Services
0305020F,CCMD Intelligence Information Technology
0305022F,ISR Modernization & Automation Dvmt (IMAD)
0305099F,Global Air Traffic Management (GATM)
0305103C,Cyber Security Initiative
0305103F,Cyber Security Initiative
0305111F,Weather Service
0305114F,Air Traffic Control, Approach, and Landing System (ATCALS)
0305116F,Aerial Targets
0305128F,Security and Investigative Activities
0305133V,Industrial Security Activities
0305146F,Defense Joint Counterintelligence Activities
0305146V,Defense Joint Counterintelligence Activities
0305155F,Theater Nuclear Weapon Storage & Security System
0305158F,Tactical Terminal
0305172K,Combined Advanced Applications
0305179A,Integrated Broadcast Service (IBS)
0305179F,Integrated Broadcast Service (IBS)
