full_name,rank,honorific,paygrade,title,role,status,service,organization,sub_organization,duty_station,programs_mentioned,public_profile_url,link_type,source_page
Get Out of the Building,,,,Find a “Customer”,OTHER,active,OSD,"with DIU, SOCOM, and PEO Missiles & Space. Anduril skipped traditional SBIRs and went",Unit strategy looks:,,,,,34
Forward Deploy,,,,developers/founders - Iterate Minimum Viable Products/Solutions,OTHER,active,OSD,"with DIU, SOCOM, and PEO Missiles & Space. Anduril skipped traditional SBIRs and went",© 2026 Steve Blank. All rights reserved.,,,,,35
Cyber Security and ITAR,,,,International Traffic In Arms Regulations,OTHER,active,NAVY,Logistics Agency (DLA). See here.16 It can take 4 months to get certified.,,,,https://www.sbir.gov/tutorials/itar/tutorial-1,gov_bio,40
Russell Vought,,,,Director of OMB,DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),,,,https://trumpwhitehouse.archives.gov/people/russell-vought/,gov_bio,50
Hal Duncan,,,,nominee to be the deputy director OMB,DEP_DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),,,,https://www.linkedin.com/in/hal-duncan-a4aaabba/,linkedin,50
Daniel Kowalski,,,,Executive Associate Director of OMB,DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),,,,,,50
Amaryllis Fox Kennedy,,,,Associate Director for Intelligence and International Affairs,DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),,,,,,50
Mark Paoletta,,,,General Counsel/Administrator OMB’s Office of Information & Regulatory Affairs,OTHER,active,NAVY,White House Office of Management and Budget (OMB),,,,,,50
Stephen Billy,,,,Senior Advisor,OTHER,active,NAVY,White House Office of Management and Budget (OMB),,,,,,50
Kevin Rhodes,,DR,,Senior Advisor,OTHER,active,NAVY,White House Office of Management and Budget (OMB),,,,,,50
Gregory Barbaccia,,,,Federal Chief Information Officer,OTHER,active,NAVY,White House Office of Management and Budget (OMB),E-Government and Information Office (OFCIO),,,https://www.linkedin.com/posts/stephenpullumafricurityai_cyber-and-ai-companeros-now-how-long-did-activity-7358718769310953472-LL3y/,social_other,50
Thomas Flagg,,,,deputy federal chief information officer,OTHER,active,NAVY,White House Office of Management and Budget (OMB),E-Government and Information Office (OFCIO),,,,,50
Jonathan Finch,,,,Digital Experience Director,DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),E-Government and Information Office (OFCIO),,,,,50
Cassie Winters,,,,Policy Analyst,OTHER,active,NAVY,White House Office of Management and Budget (OMB),E-Government and Information Office (OFCIO),,,,,50
Mary Keller,,,,Policy Analyst at Office of the Federal CIO,OTHER,active,NAVY,White House Office of Management and Budget (OMB),E-Government and Information Office (OFCIO),,,,,50
Nick Polk,,,,branch director of federal cybersecurity,DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),E-Government and Information Office (OFCIO),,,https://www.linkedin.com/in/nick-p-362a3191/,linkedin,50
Edward Forst,,,,Administrator GSA,OTHER,active,NAVY,White House Office of Management and Budget (OMB),Stephen Ehikian,,,https://en.wikipedia.org/wiki/Edward_Forst,wikipedia,50
Michael Lynch,,,,Deputy Administrator GSA,OTHER,active,NAVY,White House Office of Management and Budget (OMB),Stephen Ehikian,,,https://www.gsa.gov/about-us/organization/leadership-directory/deputy-administrator,gov_bio,50
Saul Japson,,,,Acting Chief of Staff GSA,DIRECTOR,acting,NAVY,White House Office of Management and Budget (OMB),Stephen Ehikian,,,https://www.linkedin.com/in/saul-japson-7150aa16/,linkedin,50
Ryan Leppert,,,,White House Liaison GSA,OTHER,active,NAVY,White House Office of Management and Budget (OMB),Stephen Ehikian,,,https://www.linkedin.com/in/ryan-l-11156731/,linkedin,50
Zach Whitman,,,,Chief Data Officer/Chief AI Officer GSA,OTHER,active,NAVY,White House Office of Management and Budget (OMB),Stephen Ehikian,,,https://www.linkedin.com/in/zach-whitman-70704322/,linkedin,50
Jessie Posilkin,,,,"Acting Executive Director, Technology Modernization Fund GSA",DIRECTOR,acting,NAVY,White House Office of Management and Budget (OMB),Technology Modernization Fund,,,https://www.linkedin.com/in/jessieposilkin/,linkedin,50
Andrew Heller,,,,"Acting Commissioner, Public Buildings Service",OTHER,acting,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Andrew Heller,,,,Deputy Commissioner,OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Donna Dix,,,,Chief of Staff,DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Lisa Jones,,,,Senior Advisor,OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Lisa Hua,,,,"Director, Enterprise Strategy Division",DIRECTOR,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Paige Warren,,,,"Assistant Commissioner, Office of Portfolio Management",OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Glenn C. Rotondo,,,,"Assistant Commissioner, Office of Program and Project Management",OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Chuck Hardy,,,,"Assistant Commissioner, Office of Engineering",OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Crofton Whitfield,,,,"Assistant Commissioner, Office of Leasing",OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Michael Gelber,,,,"Assistant Commissioner, Office of Facilities Management",OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Flavio Peres,,,,"Assistant Commissioner, Office of Real Property Disposition",OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Liliana Delbonifro,,,,"Acting Assistant Commissioner, Office of Acquisition Management",OTHER,acting,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
Aimee Whiteman,,,,"Assistant Commissioner, Office of Client Strategy",OTHER,active,NAVY,White House Office of Management and Budget (OMB),Public Buildings Service,,,,,50
